Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	Feces	Feces	Feces	Feces	Feces	Mucosa	Mucosa	Mucosa	Mucosa	Mucosa	Tumor	Tumor	Tumor	Tumor	Tumor
b14c3f748ff5130552acea8a2b12f29d	1.0	5.75	25.5	132.25	1151.0	1.0	312.5	1075.0	6857.25	23891.0	1.0	760.0	4316.5	11443.0	29081.0
2f4a2b08eec8d8d5f66dc0d20552881f	1.0	11.0	29.5	151.5	10908.0	57.0	674.0	2529.0	4651.0	12282.0	101.0	1402.0	3423.5	4923.75	13717.0
fd204f7a88e546b2288fb9b86489ba32	1.0	11.25	76.0	173.75	727.0	1.0	171.5	419.0	602.75	24879.0	1.0	151.25	228.0	283.75	27316.0
5c0644f23e7db04b7c8bd37098828313	35.0	233.0	940.0	1884.75	2509.0	935.0	1546.75	2937.5	4086.0	4745.0	710.0	1895.25	4418.0	8226.25	10185.0
d7d3cdd53799e5296423251aa8f5cb20	1.0	1.0	1.0	1.0	14772.0	1.0	1.0	1.0	400.75	9357.0	1.0	1.0	1.0	587.5	16707.0
cc1f106dae404eca16e3b7d588d58645	1.0	12.0	136.0	296.0	451.0	1.0	73.25	461.5	4920.75	10750.0	1.0	99.75	254.5	2648.0	11906.0
ec39293a8db6cdfc99fecc1decfa59d7	446.0	1001.5	2305.5	3365.0	3920.0	86.0	397.25	1661.5	2467.5	4321.0	46.0	344.0	1112.0	2062.25	4382.0
8bcecfcbbe56c319b7884ef6b4617200	1.0	1.0	44.5	119.5	322.0	1.0	4.5	268.0	839.75	13083.0	1.0	1.0	342.0	1501.25	5453.0
6184f0b1e75cda5265da4646ba5fe76b	28.0	779.75	877.0	1143.75	2231.0	19.0	207.5	908.0	2236.25	2810.0	1.0	234.25	1061.0	1902.75	2774.0
3e7a7ecf0bf2faf445f50ec1f8e4f9af	1.0	18.5	102.5	295.25	1862.0	1.0	26.0	168.0	570.25	5645.0	1.0	13.5	272.0	1330.0	7506.0
4e29949fbf33f687665c7ec95d0b1b26	1.0	35.25	112.0	197.75	501.0	1.0	1.0	1.0	7.0	11555.0	1.0	1.0	1.0	1.0	3687.0
c5e8adbc179ef75642a461f39608e540	1.0	1.0	1.0	1.0	194.0	1.0	1.0	1.0	1.0	6628.0	1.0	1.0	1.0	1.0	7030.0
2a035981843ab621533a4d12d244f6ac	1.0	1.0	1.0	968.5	3055.0	1.0	1.0	74.0	1073.25	3507.0	1.0	1.0	69.5	378.75	3099.0
40f80939e6303ce27ee4934e5332b44d	262.0	821.75	1310.0	2243.0	5460.0	1.0	11.0	54.0	69.25	483.0	1.0	1.0	11.0	66.75	288.0
d7aa19591d82c11adc9995f182299aca	1.0	1.0	1.0	67.0	2030.0	1.0	1.0	1.0	199.75	3928.0	1.0	1.0	1.0	262.0	5509.0
bfad690571983692244717f38b9c41c7	1.0	1.0	62.5	308.5	441.0	1.0	1.0	1.0	444.25	5387.0	1.0	1.0	1.0	223.0	4504.0
b9390af2d3c1f284363c392e0a1a739e	1.0	1.0	19.0	1974.25	2888.0	1.0	1.0	1.0	1105.0	3111.0	1.0	1.0	1.0	422.5	829.0
14341471d5faea809b2b02def8df6381	1.0	1.0	1.0	28.0	3131.0	1.0	1.0	1.0	22.0	5567.0	1.0	1.0	1.0	60.25	2648.0
f2735c286490a71c359f4d5db6bdd217	155.0	450.5	459.0	2510.5	4686.0	26.0	81.0	186.5	234.25	325.0	1.0	49.25	146.5	200.25	305.0
38f9479d2f37d1036274704b09d2e3c5	125.0	858.0	1211.5	2224.25	4329.0	1.0	4.0	17.5	41.5	100.0	1.0	1.0	17.0	60.0	94.0
325e41c7579e7cfd9b23ba39eb634bec	1.0	1.0	1.0	1.0	10252.0	1.0	1.0	1.0	1.0	248.0	1.0	1.0	1.0	1.0	28.0
89f5a4c47a4a60cceb95c3146f68e83b	1.0	1.0	119.0	408.0	7329.0	1.0	1.0	1.0	46.75	853.0	1.0	1.0	1.0	1.0	629.0
4982bbaf199abfd1057d12302f1c1321	1.0	1.0	1.0	1.0	296.0	1.0	1.0	21.5	487.5	3466.0	1.0	1.0	30.0	682.25	3274.0
bd2eb093a44ae4b83e0a828180924d76	1.0	1.0	1.0	1.0	39.0	1.0	1.0	1.0	1.0	5545.0	1.0	1.0	1.0	1.0	2839.0
66a938f481aa9c6127b96c8910ca4c62	1.0	1.0	1.0	1.0	603.0	1.0	1.0	1.0	1.0	1799.0	1.0	1.0	1.0	1.0	5231.0
ff7008e0758ad4e31fc71663fead0d80	1.0	1.0	9.0	17.75	95.0	1.0	18.25	110.5	921.25	1438.0	1.0	27.5	134.5	900.75	2893.0
e42736a7a44b8884c1001f656bfc252e	1.0	1.0	1.0	1.0	8.0	1.0	1.0	1.0	1.0	2174.0	1.0	1.0	1.0	88.75	4614.0
2aa282c745a023e4d652f986b63864b5	1.0	9.0	109.5	1142.25	1679.0	1.0	1.0	17.0	699.0	1645.0	1.0	1.0	25.5	219.5	607.0
849154d1fef3cbacbdede1343a55ac92	1.0	24.5	78.5	2397.5	3329.0	1.0	1.0	4.0	7.75	72.0	1.0	1.0	3.0	10.25	74.0
a4d98ca36dc66a0161e195b9a625b708	1.0	5.25	27.0	109.5	257.0	1.0	236.0	501.5	893.0	980.0	58.0	253.25	518.0	677.0	871.0
7f422b98c404234f48638de70fe8e740	1.0	1.0	1.0	1.0	1748.0	1.0	1.0	1.0	1.0	2849.0	1.0	1.0	1.0	1.0	1643.0
552ed8a144cb8abb7490125ca10207cf	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	506.0	1.0	1.0	1.0	1.0	5397.0
af8dea393c13d697c04444793b8475f1	1.0	1.0	1.0	1.0	1694.0	1.0	1.0	1.0	1.0	1986.0	1.0	1.0	1.0	1.0	1880.0
6c50dd3cf297cf30eaf754d064def0bb	1.0	1.0	1.0	1.0	1587.0	1.0	1.0	1.0	24.25	2472.0	1.0	1.0	1.0	13.75	1366.0
05073e247f22ba778523c1de9e3185c4	1.0	2.25	9.5	20.5	53.0	1.0	16.0	87.0	382.25	1797.0	1.0	9.25	85.0	166.75	2345.0
173ae448654ca5335227d3b8525c15a4	1.0	1.0	52.0	127.0	185.0	1.0	1.0	178.0	639.25	1394.0	1.0	1.0	45.0	665.75	1211.0
2de10dd2ae8a30ed0ac7e261c66ca912	1.0	7.5	36.0	91.5	1040.0	1.0	48.0	339.0	627.75	677.0	1.0	32.5	158.0	226.5	1089.0
547f7f631b685c5f07486e3170f16ea4	1.0	85.25	186.5	244.25	285.0	1.0	86.25	317.5	369.5	549.0	1.0	80.0	341.5	547.5	971.0
2a231f08891292ebf633fb67c2243110	116.0	171.75	238.0	479.75	1764.0	1.0	1.0	6.0	114.5	516.0	1.0	1.0	8.0	115.5	903.0
0ae1308cf1201de65c4edfcd616e89b2	177.0	280.5	413.5	635.0	2096.0	1.0	7.75	30.0	60.5	144.0	1.0	15.5	28.5	44.5	161.0
a01b6188fb1fe6548a57a176ebbddf48	1.0	1.0	12.5	27.0	401.0	1.0	207.5	308.0	490.25	577.0	1.0	171.25	279.0	561.5	869.0
b045f064a5c423e83d84bf17c091d8ee	1.0	1.0	1.0	1.0	2229.0	1.0	1.0	1.0	1.0	1170.0	1.0	1.0	1.0	1.0	1051.0
