Genus,Mucosa
Bacteroides,19022.166666666668
Escherichia-Shigella,5104.5
Prevotella,4757.333333333333
[Ruminococcus]_torques_group,4511.833333333333
Faecalibacterium,3982.6666666666665
[Ruminococcus]_gnavus_group,2863.1666666666665
Clostridium_sensu_stricto_1,2800.833333333333
Fusobacterium,2798.6666666666665
Klebsiella,2398.6666666666665
Alloprevotella,1689.3333333333333
