Feature ID	W	Signif	Taxon	Consensus
f1a0307c19c626a5586f8dfe3e77a506	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Blautia; s__uncultured_bacterium	1.0
35129d3d5a3dbfbbf170b3199b4d95fb	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Sellimonas; s__uncultured_bacterium	0.7
1283d63576b75ae3110601e4a01858ac	2	False	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
39effb00d9ba2ca74281efad37068bf9	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Butyricicoccus; s__uncultured_bacterium	1.0
784d5c41474b03cf43c5041c4ced42aa	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Dorea; s__Dorea_formicigenerans	0.6
52d41931e1e738a2daec3b6ff8429950	2	False	d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__Fusobacterium_periodonticum	0.8
991dc62ec18478a61ce17915d53b5c35	2	False	d__Bacteria; p__Firmicutes	1.0
d8954a82c5b8146b8ff08fd65322a52f	2	False	Unassigned	1.0
5f0eca98dfe9b9c4d016c1efd13c6b91	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_UCG-001; s__uncultured_bacterium	0.7
c7ba9dcd7fb20b6d631fed2ee46a0645	2	False	Unassigned	1.0
8e8935d0940b55a9259e240c4bb3e7a2	2	False	Unassigned	1.0
a07a8536bb7b01c9d314e3ab8b03a735	2	False	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Veillonellaceae; g__Allisonella; s__uncultured_bacterium	0.75
0ae1308cf1201de65c4edfcd616e89b2	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Fusicatenibacter; s__uncultured_bacterium	0.9
9119f1d22e2b3839744ddfad9519aeda	2	False	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales-Selenomonadales; f__Selenomonadaceae; g__Megamonas; s__uncultured_bacterium	1.0
b5535906e07afe6a43b5eb8216e636c5	2	False	d__Bacteria; p__Actinobacteriota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium; s__uncultured_bacterium	0.6
28b6c31d896d6ea36359bed43c73f471	2	False	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__uncultured_bacterium	0.9
3c9b6439bca5e8fa87b15799a660de73	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__uncultured_bacterium	1.0
1647fa394ab4198aadc8994df3643196	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__UCG-010; g__UCG-010; s__uncultured_bacterium	0.8
d53526583ca0c4c1a0e6bfe949f126fe	2	False	Unassigned	1.0
ec177caa47234aab6a52806abfce4670	2	False	Unassigned	1.0
2c949e040aeed997994ed12ccefac8f7	2	False	Unassigned	1.0
304878204d79fc2c7473e9f862119a48	2	False	Unassigned	1.0
098675c943b21e216f11ebf5e250a02b	2	False	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group; s__uncultured_bacterium	0.8
fbb992e9931309eb044a5af3d87c31b4	2	False	Unassigned	1.0
df2101151c96eb6afa2ffeb479dcc24c	2	False	Unassigned	1.0
